AstarPath.AstarDistribution	astarpath.html#AstarDistribution	Information about where the package was downloaded.
Pathfinding.GridGraph.useRaycastNormal	gridgraph.html#useRaycastNormal	Use heigh raycasting normal for max slope calculation. \n\nTrue if maxSlope is less than 90 degrees.
Pathfinding.GridGraph.width	gridgraph.html#width	Width of the grid in nodes. \n\nGrid graphs are typically anywhere from 10-500 nodes wide. But it can go up to 1024 nodes wide by default. Consider using a recast graph instead, if you find yourself needing a very high resolution grid.\n\nThis value will be clamped to at most 1024 unless <b>ASTAR_LARGER_GRIDS</b> has been enabled in the A* Inspector -&gt; Optimizations tab.\n\n[more in online documentation]
Pathfinding.GridGraphEditor.GridPivot	gridgrapheditor.html#GridPivot	
Pathfinding.GridGraphEditor.arcBuffer	gridgrapheditor.html#arcBuffer	
Pathfinding.GridGraphEditor.cachedSceneGridLayouts	gridgrapheditor.html#cachedSceneGridLayouts	
Pathfinding.GridGraphEditor.cachedSceneGridLayoutsTimestamp	gridgrapheditor.html#cachedSceneGridLayoutsTimestamp	
Pathfinding.GridGraphEditor.collisionPreviewOpen	gridgrapheditor.html#collisionPreviewOpen	Shows the preview for the collision testing options. \n\n <b>[image in online documentation]</b>\n\nOn the left you can see a top-down view of the graph with a grid of nodes. On the right you can see a side view of the graph. The white line at the bottom is the base of the graph, with node positions indicated using small dots. When using 2D physics, only the top-down view is visible.\n\nThe green shape indicates the shape that will be used for collision checking.
Pathfinding.GridGraphEditor.gridPivotSelectBackground	gridgrapheditor.html#gridPivotSelectBackground	Cached gui style.
Pathfinding.GridGraphEditor.gridPivotSelectButton	gridgrapheditor.html#gridPivotSelectButton	Cached gui style.
Pathfinding.GridGraphEditor.handlePoints	gridgrapheditor.html#handlePoints	
Pathfinding.GridGraphEditor.hexagonSizeContents	gridgrapheditor.html#hexagonSizeContents	
Pathfinding.GridGraphEditor.interpolatedGridWidthInNodes	gridgrapheditor.html#interpolatedGridWidthInNodes	
Pathfinding.GridGraphEditor.isMouseDown	gridgrapheditor.html#isMouseDown	
Pathfinding.GridGraphEditor.lastTime	gridgrapheditor.html#lastTime	
Pathfinding.GridGraphEditor.lineBuffer	gridgrapheditor.html#lineBuffer	
Pathfinding.GridGraphEditor.lockStyle	gridgrapheditor.html#lockStyle	Cached gui style.
Pathfinding.GridGraphEditor.locked	gridgrapheditor.html#locked	
Pathfinding.GridGraphEditor.pivot	gridgrapheditor.html#pivot	
Pathfinding.GridGraphEditor.ruleEditorInstances	gridgrapheditor.html#ruleEditorInstances	
Pathfinding.GridGraphEditor.ruleEditors	gridgrapheditor.html#ruleEditors	
Pathfinding.GridGraphEditor.ruleHeaders	gridgrapheditor.html#ruleHeaders	
Pathfinding.GridGraphEditor.ruleTypes	gridgrapheditor.html#ruleTypes	
Pathfinding.GridGraphEditor.savedDimensions	gridgrapheditor.html#savedDimensions	
Pathfinding.GridGraphEditor.savedNodeSize	gridgrapheditor.html#savedNodeSize	
Pathfinding.GridGraphEditor.savedTransform	gridgrapheditor.html#savedTransform	
Pathfinding.GridGraphEditor.selectedTilemap	gridgrapheditor.html#selectedTilemap	
Pathfinding.GridGraphEditor.showExtra	gridgrapheditor.html#showExtra	
Pathfinding.GridHitInfo.direction	gridhitinfo.html#direction	Direction from the node to the edge that was hit. \n\nThis will be in the range of 0 to 4 (exclusive) or -1 if no particular edge was hit.\n\n[more in online documentation]
Pathfinding.GridHitInfo.node	gridhitinfo.html#node	The node which contained the edge that was hit. \n\nThis may be null in case no particular edge was hit.
Pathfinding.GridNode.EdgeNode	gridnode.html#EdgeNode	Work in progress for a feature that required info about which nodes were at the border of the graph. \n\n[more in online documentation]
Pathfinding.GridNode.GridFlagsAxisAlignedConnectionMask	gridnode.html#GridFlagsAxisAlignedConnectionMask	
Pathfinding.GridNode.GridFlagsConnectionBit0	gridnode.html#GridFlagsConnectionBit0	
Pathfinding.GridNode.GridFlagsConnectionMask	gridnode.html#GridFlagsConnectionMask	
Pathfinding.GridNode.GridFlagsConnectionOffset	gridnode.html#GridFlagsConnectionOffset	
Pathfinding.GridNode.GridFlagsEdgeNodeMask	gridnode.html#GridFlagsEdgeNodeMask	
Pathfinding.GridNode.GridFlagsEdgeNodeOffset	gridnode.html#GridFlagsEdgeNodeOffset	
Pathfinding.GridNode.HasAnyGridConnections	gridnode.html#HasAnyGridConnections	True if this node has any grid connections.
Pathfinding.GridNode.HasConnectionsToAllAxisAlignedNeighbours	gridnode.html#HasConnectionsToAllAxisAlignedNeighbours	True if the node has grid connections to all its 4 axis-aligned neighbours. \n\n[more in online documentation]
Pathfinding.GridNode.HasConnectionsToAllEightNeighbours	gridnode.html#HasConnectionsToAllEightNeighbours	True if the node has grid connections to all its 8 neighbours. \n\n[more in online documentation]
Pathfinding.GridNode.InternalGridFlags	gridnode.html#InternalGridFlags	Internal use only.
Pathfinding.GridNode._gridGraphs	gridnode.html#_gridGraphs	
Pathfinding.GridNodeBase.CoordinatesInGrid	gridnodebase.html#CoordinatesInGrid	The X and Z coordinates of the node in the grid. \n\nThe node in the bottom left corner has (x,z) = (0,0) and the one in the opposite corner has (x,z) = (width-1, depth-1)\n\n[more in online documentation]
Pathfinding.GridNodeBase.GridFlagsWalkableErosionMask	gridnodebase.html#GridFlagsWalkableErosionMask	
Pathfinding.GridNodeBase.GridFlagsWalkableErosionOffset	gridnodebase.html#GridFlagsWalkableErosionOffset	
Pathfinding.GridNodeBase.GridFlagsWalkableTmpMask	gridnodebase.html#GridFlagsWalkableTmpMask	
Pathfinding.GridNodeBase.GridFlagsWalkableTmpOffset	gridnodebase.html#GridFlagsWalkableTmpOffset	
Pathfinding.GridNodeBase.HasAnyGridConnections	gridnodebase.html#HasAnyGridConnections	True if this node has any grid connections.
Pathfinding.GridNodeBase.HasConnectionsToAllAxisAlignedNeighbours	gridnodebase.html#HasConnectionsToAllAxisAlignedNeighbours	True if the node has grid connections to all its 4 axis-aligned neighbours. \n\n[more in online documentation]
Pathfinding.GridNodeBase.HasConnectionsToAllEightNeighbours	gridnodebase.html#HasConnectionsToAllEightNeighbours	True if the node has grid connections to all its 8 neighbours. \n\n[more in online documentation]
Pathfinding.GridNodeBase.NodeInGridIndex	gridnodebase.html#NodeInGridIndex	The index of the node in the grid. \n\nThis is x + z*graph.width So you can get the X and Z indices using <b>[code in online documentation]</b>\n\n[more in online documentation]
Pathfinding.GridNodeBase.NodeInGridIndexLayerOffset	gridnodebase.html#NodeInGridIndexLayerOffset	
Pathfinding.GridNodeBase.NodeInGridIndexMask	gridnodebase.html#NodeInGridIndexMask	
Pathfinding.GridNodeBase.TmpWalkable	gridnodebase.html#TmpWalkable	Temporary variable used internally when updating the graph.
Pathfinding.GridNodeBase.WalkableErosion	gridnodebase.html#WalkableErosion	Stores walkability before erosion is applied. \n\nUsed internally when updating the graph.
Pathfinding.GridNodeBase.XCoordinateInGrid	gridnodebase.html#XCoordinateInGrid	X coordinate of the node in the grid. \n\nThe node in the bottom left corner has (x,z) = (0,0) and the one in the opposite corner has (x,z) = (width-1, depth-1)\n\n[more in online documentation]
Pathfinding.GridNodeBase.ZCoordinateInGrid	gridnodebase.html#ZCoordinateInGrid	Z coordinate of the node in the grid. \n\nThe node in the bottom left corner has (x,z) = (0,0) and the one in the opposite corner has (x,z) = (width-1, depth-1)\n\n[more in online documentation]
Pathfinding.GridNodeBase.connections	gridnodebase.html#connections	Custon non-grid connections from this node. \n\n[more in online documentation]\nThis field is removed if the ASTAR_GRID_NO_CUSTOM_CONNECTIONS compiler directive is used. Removing it can save a tiny bit of memory. You can enable the define in the Optimizations tab in the A* inspector. \n\n[more in online documentation]
Pathfinding.GridNodeBase.gridFlags	gridnodebase.html#gridFlags	
Pathfinding.GridNodeBase.nodeInGridIndex	gridnodebase.html#nodeInGridIndex	Bitfield containing the x and z coordinates of the node as well as the layer (for layered grid graphs). \n\n[more in online documentation]
Pathfinding.GridNodeBase.offsetToDirection	gridnodebase.html#offsetToDirection	Converts from dx + 3*dz to a neighbour direction. \n\nUsed by OffsetToConnectionDirection.\n\nAssumes that dx and dz are both in the range [0,2]. \n\n[more in online documentation]
Pathfinding.GridStringPulling.FixedPrecisionScale	gridstringpulling.html#FixedPrecisionScale	
Pathfinding.GridStringPulling.PredicateFailMode	gridstringpulling.html#PredicateFailMode	
Pathfinding.GridStringPulling.TriangleBounds.d1	trianglebounds.html#d1	
Pathfinding.GridStringPulling.TriangleBounds.d2	trianglebounds.html#d2	
Pathfinding.GridStringPulling.TriangleBounds.d3	trianglebounds.html#d3	
Pathfinding.GridStringPulling.TriangleBounds.t1	trianglebounds.html#t1	
Pathfinding.GridStringPulling.TriangleBounds.t2	trianglebounds.html#t2	
Pathfinding.GridStringPulling.TriangleBounds.t3	trianglebounds.html#t3	
Pathfinding.GridStringPulling.directionToCorners	gridstringpulling.html#directionToCorners	Z | |. \n\n3 2 \ | / – - X - —– X / | \ 0 1\n\n| |
Pathfinding.GridStringPulling.marker1	gridstringpulling.html#marker1	
Pathfinding.GridStringPulling.marker2	gridstringpulling.html#marker2	
Pathfinding.GridStringPulling.marker3	gridstringpulling.html#marker3	
Pathfinding.GridStringPulling.marker4	gridstringpulling.html#marker4	
Pathfinding.GridStringPulling.marker5	gridstringpulling.html#marker5	
Pathfinding.GridStringPulling.marker6	gridstringpulling.html#marker6	
Pathfinding.GridStringPulling.marker7	gridstringpulling.html#marker7	
Pathfinding.Heuristic	pathfinding.html#Heuristic	How to estimate the cost of moving to the destination during pathfinding. \n\nThe heuristic is the estimated cost from the current node to the target. The different heuristics have roughly the same performance except not using any heuristic at all ( Heuristic.None) which is usually significantly slower.\n\nIn the image below you can see a comparison of the different heuristic options for an 8-connected grid and for a 4-connected grid. Note that all paths within the green area will all have the same length. The only difference between the heuristics is which of those paths of the same length that will be chosen. Note that while the Diagonal Manhattan and Manhattan options seem to behave very differently on an 8-connected grid they only do it in this case because of very small rounding errors. Usually they behave almost identically on 8-connected grids.\n\n <b>[image in online documentation]</b>\n\nGenerally for a 4-connected grid graph the Manhattan option should be used as it is the true distance on a 4-connected grid. For an 8-connected grid graph the Diagonal Manhattan option is the mathematically most correct option, however the Euclidean option is often preferred, especially if you are simplifying the path afterwards using modifiers.\n\nFor any graph that is not grid based the Euclidean option is the best one to use.\n\n[more in online documentation]
Pathfinding.HeuristicObjective.euclideanEmbeddingCosts	heuristicobjective.html#euclideanEmbeddingCosts	
Pathfinding.HeuristicObjective.euclideanEmbeddingPivots	heuristicobjective.html#euclideanEmbeddingPivots	
Pathfinding.HeuristicObjective.hasHeuristic	heuristicobjective.html#hasHeuristic	
Pathfinding.HeuristicObjective.heuristic	heuristicobjective.html#heuristic	
Pathfinding.HeuristicObjective.heuristicScale	heuristicobjective.html#heuristicScale	
Pathfinding.HeuristicObjective.mn	heuristicobjective.html#mn	
Pathfinding.HeuristicObjective.mx	heuristicobjective.html#mx	
Pathfinding.HeuristicObjective.targetNodeIndex	heuristicobjective.html#targetNodeIndex	
Pathfinding.HierarchicalGraph.HierarhicalNodeData.bounds	hierarhicalnodedata.html#bounds	
Pathfinding.HierarchicalGraph.HierarhicalNodeData.connectionAllocations	hierarhicalnodedata.html#connectionAllocations	
Pathfinding.HierarchicalGraph.HierarhicalNodeData.connectionAllocator	hierarhicalnodedata.html#connectionAllocator	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.Context.children	context.html#children	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.Context.connections	context.html#connections	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.Context.graphindex	context.html#graphindex	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.Context.hierarchicalNodeIndex	context.html#hierarchicalNodeIndex	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.Context.queue	context.html#queue	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.bounds	jobrecalculatecomponents.html#bounds	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.connectionAllocations	jobrecalculatecomponents.html#connectionAllocations	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.dirtiedHierarchicalNodes	jobrecalculatecomponents.html#dirtiedHierarchicalNodes	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.hGraphGC	jobrecalculatecomponents.html#hGraphGC	
Pathfinding.HierarchicalGraph.JobRecalculateComponents.numHierarchicalNodes	jobrecalculatecomponents.html#numHierarchicalNodes	
Pathfinding.HierarchicalGraph.MaxChildrenPerNode	hierarchicalgraph.html#MaxChildrenPerNode	
Pathfinding.HierarchicalGraph.MinChildrenPerNode	hierarchicalgraph.html#MinChildrenPerNode	
Pathfinding.HierarchicalGraph.NumConnectedComponents	hierarchicalgraph.html#NumConnectedComponents	
Pathfinding.HierarchicalGraph.Tiling	hierarchicalgraph.html#Tiling	
Pathfinding.HierarchicalGraph.areas	hierarchicalgraph.html#areas	
Pathfinding.HierarchicalGraph.bounds	hierarchicalgraph.html#bounds	
Pathfinding.HierarchicalGraph.children	hierarchicalgraph.html#children	
Pathfinding.HierarchicalGraph.connectionAllocations	hierarchicalgraph.html#connectionAllocations	
Pathfinding.HierarchicalGraph.connectionAllocator	hierarchicalgraph.html#connectionAllocator	
Pathfinding.HierarchicalGraph.currentConnections	hierarchicalgraph.html#currentConnections	
Pathfinding.HierarchicalGraph.dirtiedHierarchicalNodes	hierarchicalgraph.html#dirtiedHierarchicalNodes	
Pathfinding.HierarchicalGraph.dirty	hierarchicalgraph.html#dirty	
Pathfinding.HierarchicalGraph.dirtyNodes	hierarchicalgraph.html#dirtyNodes	
Pathfinding.HierarchicalGraph.freeNodeIndices	hierarchicalgraph.html#freeNodeIndices	
Pathfinding.HierarchicalGraph.gcHandle	hierarchicalgraph.html#gcHandle	
Pathfinding.HierarchicalGraph.gizmoVersion	hierarchicalgraph.html#gizmoVersion	
Pathfinding.HierarchicalGraph.navmeshEdges	hierarchicalgraph.html#navmeshEdges	
Pathfinding.HierarchicalGraph.nodeStorage	hierarchicalgraph.html#nodeStorage	
Pathfinding.HierarchicalGraph.numHierarchicalNodes	hierarchicalgraph.html#numHierarchicalNodes	Holds areas.Length as a burst-accessible reference.
